customer_id,name,spending
66566,Allison Ellis,18935.14
16950,Jason Green,17221.13
12145,Joseph Noble,16984.940000000002
24845,Brendan Zamora,16116.0
6655,Cynthia Bridges,15361.09
48766,Taylor Kim,15265.91
42535,Loretta Smith,14623.880000000001
51578,Robin Taylor,14600.74
22197,Michael Ortega,14215.580000000002
84040,Brittany Wagner,14192.49
51761,Troy Roth,14042.62
23909,David Simmons,14012.37
89738,Kathleen Ibarra,13952.380000000001
55210,Ronnie Monroe,13622.899999999998
8484,Anthony Fernandez,13595.02
53930,Rhonda Santos,13531.460000000001
2064,Angela Stephens,13501.0
50212,Mrs. Taylor Martin,13484.43
7564,Ryan Barajas,13385.690000000002
55268,John Pope,13327.41
15750,Julia Delacruz,13324.17
77790,Sara Morales,13234.999999999998
8770,Danielle Shaw,13079.8
88378,Andrew Davis,13044.46
45894,Elizabeth Graham,12993.609999999999
63906,Charles Carpenter,12889.54
23755,Chad Washington,12851.890000000001
99551,Matthew Stephens,12846.930000000002
74324,Donna Caldwell,12846.34
54639,Amanda Rangel,12773.59
27174,Stephen Walker,12771.32
83618,Alyssa Doyle,12768.300000000001
44265,Frederick Todd,12739.96
51230,Joseph Clark,12621.400000000001
5037,Charles Ward,12609.24
1880,Roberta Hughes,12560.609999999999
8380,Sarah Cook,12385.019999999999
13445,Roy Ortiz,12335.46
57774,Dana Johnson,12296.27
82322,Todd Guerra,12222.710000000001
14476,Laura Bullock,12208.960000000001
11209,Nicholas Adams,12154.49
86700,Jeremy Salazar,12038.349999999999
72027,Kristin Torres,12033.68
31051,Gary Flores,11933.09
75514,Sarah Garza,11899.880000000001
99595,Leah Dunn,11825.45
29831,Billy Jensen,11801.19
85056,Angie Thompson,11783.8
9611,Kelly Anderson,11777.19
46256,Ashley Holland,11737.53
13554,Natalie Bennett,11729.189999999999
46341,Jordan Morgan,11714.509999999998
65193,Lisa Murphy,11696.85
52182,Stacy Barber,11695.7
88644,Elizabeth Miller,11671.369999999999
31260,Joshua Martin,11663.619999999999
33973,Melissa Garcia,11657.730000000001
42901,Michael Fox,11653.42
78180,Michele Garcia,11640.92
53467,Aaron Cowan,11625.919999999998
48666,Eddie Franklin,11612.2
6884,Kevin Wilson,11602.3
1933,Amanda Carr,11579.240000000002
13038,Devon Swanson,11546.749999999998
77265,Lawrence Martin,11522.400000000001
42125,Ashley Ward,11480.510000000002
16995,Jennifer King,11463.199999999999
97420,Sydney Weber,11453.96
14462,Andrew Harrell,11413.8
32413,Shirley Mendez,11393.91
89340,Daniel Murphy,11376.460000000001
67864,James Roberts,11371.84
36651,Peggy Frazier,11335.79
55495,Jose Willis,11273.93
20582,Michael Hudson,11270.83
79369,Diane Sheppard,11265.11
29821,Elizabeth Ochoa,11221.25
23185,Alison Sanders,11211.91
44931,Cristina Gonzalez,11194.25
29073,Kristen Bradley,11166.119999999999
65648,Gregory Rodriguez,11134.419999999998
42646,Adam Thomas,11124.88
87966,Cheryl Nelson,11113.199999999999
49587,David Levine,11109.239999999998
59290,Gary Gill,11107.69
59121,Barbara Murillo,11099.900000000001
85035,Douglas Miranda,11077.83
79011,Karen Nichols,11073.470000000001
22289,Molly Edwards,11064.41
18798,April Willis,11060.099999999999
15394,Jordan Harris,11056.47
29635,James Robinson,11056.2
97711,Kelly Welch,11010.08
52768,Debra Wilkinson,11006.080000000002
55623,Nicole Taylor,10993.59
1513,Joseph Gonzalez,10975.240000000002
33365,Kristen Aguilar,10969.54
18262,Stacy Fernandez,10956.51
42239,John Miller,10937.42
83046,Michelle Riley,10931.380000000001
83239,Sarah Johnson,10895.22
99868,Sherry Walton,10875.74
74128,Suzanne Carroll,10857.34
25441,Tonya Phillips,10851.14
18193,Kevin Lang,10830.66
10149,Paul Jones,10825.48
23590,Dana Moore,10818.51
80829,Marissa Barber,10810.15
17893,Clayton Sheppard,10802.150000000001
72935,David Nelson,10793.79
28369,Douglas Wallace,10782.98
3763,Nicole Ortiz,10745.38
83933,Roberto Vincent,10741.19
78801,Kevin Daniel,10739.51
35823,Jason Hernandez,10717.19
72729,James Davis,10700.5
25654,Amy Morris,10698.79
65343,Lauren Garcia,10686.37
75024,Kurt Smith,10669.339999999998
3805,Zachary West,10667.33
11531,Megan Martin,10616.140000000001
64913,Jacqueline Hurst,10606.86
57457,Hector Davis,10601.39
90816,Michelle Cobb,10598.71
82373,Matthew Levine,10584.800000000001
32641,Brian Sexton,10566.070000000002
94419,Bradley Wright,10553.79
9873,Crystal Jackson,10551.38
21662,Luis Marshall,10550.04
67752,Anthony Nixon,10534.900000000001
66208,Theodore Cruz,10498.529999999999
5949,Melissa Green,10481.04
54132,Matthew Flynn,10480.220000000001
56262,James Robinson,10476.920000000002
50980,Jessica Suarez,10474.4
89547,Kayla Padilla,10466.3
5956,Dominic Knight DDS,10439.59
15420,Kayla Austin,10432.48
78113,Keith Fleming,10425.46
83747,Nicholas Walter,10409.46
33382,Zachary Cohen,10407.16
89876,Robert Jones,10405.48
56027,Javier Brown,10402.17
51726,Ryan Oliver,10398.91
30333,James Johnson,10398.77
